index,time,open,high,low,close,volume
95,2023-10-10 10:00:00,178.1710,178.9730,177.8900,178.8620,6376259
94,2023-10-10 11:00:00,178.8690,179.2230,178.6680,179.1060,4425046
93,2023-10-10 12:00:00,179.0980,179.2630,178.8870,179.0520,2802223
92,2023-10-10 13:00:00,179.0380,179.1870,177.5810,177.8200,5701802
91,2023-10-10 14:00:00,177.8120,178.1750,177.4910,177.7200,4464779
90,2023-10-10 15:00:00,177.7170,178.4550,177.6110,177.9540,8197017
89,2023-10-11 10:00:00,177.4720,178.8240,177.2120,178.6430,7081633
88,2023-10-11 11:00:00,178.6390,178.8640,177.9850,178.2520,5177557
87,2023-10-11 12:00:00,178.2500,178.2850,177.8100,178.1690,3535720
86,2023-10-11 13:00:00,178.1810,178.2870,177.8700,178.1740,2995259
85,2023-10-11 14:00:00,178.1610,178.9240,178.1290,178.6280,5718577
84,2023-10-11 15:00:00,178.6170,179.3920,178.5780,179.2910,8195703
83,2023-10-12 10:00:00,180.4650,181.6860,180.3440,181.5950,11185128
82,2023-10-12 11:00:00,181.5970,181.8760,179.9250,181.4750,6651272
81,2023-10-12 12:00:00,181.4720,181.8260,181.3220,181.4900,4669794
80,2023-10-12 13:00:00,181.4870,181.5970,179.4960,179.5250,6094376
79,2023-10-12 14:00:00,179.5270,179.6720,178.5780,179.3510,5993265
78,2023-10-12 15:00:00,179.3580,180.3550,179.2660,180.2690,8594599
77,2023-10-13 10:00:00,180.6840,180.7990,178.9070,179.1660,7695627
76,2023-10-13 11:00:00,179.1580,179.2330,178.0100,178.1540,6502812
75,2023-10-13 12:00:00,178.1410,179.0130,178.0700,178.6030,4443634
74,2023-10-13 13:00:00,178.5990,178.6490,177.6810,178.3630,5331669
73,2023-10-13 14:00:00,178.3600,179.0830,178.2290,178.8820,5123742
72,2023-10-13 15:00:00,178.8690,179.2830,178.0600,178.4130,8646197
71,2023-10-16 10:00:00,177.3530,178.3950,176.8830,178.3630,7384903
70,2023-10-16 11:00:00,178.3600,178.6190,176.2740,177.5750,5149832
69,2023-10-16 12:00:00,177.5770,177.6070,176.8230,177.0970,5116479
68,2023-10-16 13:00:00,177.0930,177.7660,176.3940,177.6950,5392995
67,2023-10-16 14:00:00,177.6920,178.0960,177.3610,178.0710,4353753
66,2023-10-16 15:00:00,178.0710,178.5440,177.7800,178.2190,9525732
65,2023-10-17 10:00:00,174.8940,176.7790,174.8280,176.2090,9822885
64,2023-10-17 11:00:00,176.2110,177.3920,176.0360,177.2760,5853039
63,2023-10-17 12:00:00,177.2730,177.9660,177.1720,177.7350,4625756
